customer_id,company_name,email,region,credit_limit,since
MC-1,cyberdyne -100 inc,acct100@example.com,北京,500000,2018-01-01
MC-2,black mesa -101 inc,acct101@corp.net,上海,500000,2018-01-01
MC-3,oscorp -102 inc,acct102@biz.org,广州,500000,2018-01-01
MC-4,acme corp -103 inc,acct103@example.com,深圳,500000,2018-01-01
MC-5,aperture -104 inc,acct104@corp.net,杭州,500000,2018-01-01
MC-6,weyland-yutani -105 inc,acct105@biz.org,成都,500000,2018-01-01
MC-7,black mesa -106 inc,acct106@example.com,武汉,500000,2018-01-01
MC-8,initech -107 inc,acct107@corp.net,南京,500000,2018-01-01
MC-9,massive dynamic -108 inc,acct108@biz.org,西安,500000,2018-01-01
MC-10,weyland-yutani -109 inc,acct109@example.com,苏州,500000,2018-01-01
MC-11,black mesa -110 inc,acct110@corp.net,北京,500000,2018-01-01
MC-12,massive dynamic -111 inc,acct111@biz.org,上海,500000,2018-01-01
MC-13,wayne enterprises -112 inc,acct112@example.com,广州,500000,2018-01-01
MC-14,cyberdyne -113 inc,acct113@corp.net,深圳,500000,2018-01-01
MC-15,tyrell corp -114 inc,acct114@biz.org,杭州,500000,2018-01-01
MC-16,wayne enterprises -115 inc,acct115@example.com,成都,500000,2018-01-01
MC-17,wonka -116 inc,acct116@corp.net,武汉,500000,2018-01-01
MC-18,hooli -117 inc,acct117@biz.org,南京,500000,2018-01-01
MC-19,oscorp -118 inc,acct118@example.com,西安,500000,2018-01-01
MC-20,aperture -119 inc,acct119@corp.net,苏州,500000,2018-01-01
MC-21,dunder mifflin -120 inc,acct120@biz.org,北京,500000,2018-01-01
MC-22,lexcorp -121 inc,acct121@example.com,上海,500000,2018-01-01
MC-23,weyland-yutani -122 inc,acct122@corp.net,广州,500000,2018-01-01
MC-24,weyland-yutani -123 inc,acct123@biz.org,深圳,500000,2018-01-01
MC-25,vandelay -124 inc,acct124@example.com,杭州,500000,2018-01-01
MC-26,massive dynamic -125 inc,acct125@corp.net,成都,500000,2018-01-01
MC-27,wonka -126 inc,acct126@biz.org,武汉,500000,2018-01-01
MC-28,hooli -127 inc,acct127@example.com,南京,500000,2018-01-01
MC-29,blue sun -128 inc,acct128@corp.net,西安,500000,2018-01-01
MC-30,initech -129 inc,acct129@biz.org,苏州,500000,2018-01-01
MC-31,massive dynamic -130 inc,acct130@example.com,北京,500000,2018-01-01
MC-32,aperture -131 inc,acct131@corp.net,上海,500000,2018-01-01
MC-33,massive dynamic -132 inc,acct132@biz.org,广州,500000,2018-01-01
MC-34,hooli -133 inc,acct133@example.com,深圳,500000,2018-01-01
MC-35,hooli -134 inc,acct134@corp.net,杭州,500000,2018-01-01
MC-36,umbrella co -135 inc,acct135@biz.org,成都,500000,2018-01-01
MC-37,tyrell corp -136 inc,acct136@example.com,武汉,500000,2018-01-01
MC-38,globex -137 inc,acct137@corp.net,南京,500000,2018-01-01
MC-39,acme corp -138 inc,acct138@biz.org,西安,500000,2018-01-01
MC-40,stark industries -139 inc,acct139@example.com,苏州,500000,2018-01-01
MC-111,lexcorp -210 inc,acct210@biz.org,北京,500000,2018-01-01
MC-112,oscorp -211 inc,acct211@example.com,上海,500000,2018-01-01
MC-113,lexcorp -212 inc,acct212@corp.net,广州,500000,2018-01-01
MC-114,massive dynamic -213 inc,acct213@biz.org,深圳,500000,2018-01-01
MC-115,wayne enterprises -214 inc,acct214@example.com,杭州,500000,2018-01-01
MC-116,black mesa -215 inc,acct215@corp.net,成都,500000,2018-01-01
MC-117,blue sun -216 inc,acct216@biz.org,武汉,500000,2018-01-01
MC-118,initech -217 inc,acct217@example.com,南京,500000,2018-01-01
MC-119,vandelay -218 inc,acct218@corp.net,西安,500000,2018-01-01
MC-120,wayne enterprises -219 inc,acct219@biz.org,苏州,500000,2018-01-01
MC-121,acme corp -220 inc,acct220@example.com,北京,500000,2018-01-01
MC-122,wonka -221 inc,acct221@corp.net,上海,500000,2018-01-01
MC-123,globex -222 inc,acct222@biz.org,广州,500000,2018-01-01
MC-124,umbrella co -223 inc,acct223@example.com,深圳,500000,2018-01-01
MC-125,hooli -224 inc,acct224@corp.net,杭州,500000,2018-01-01
MC-126,stark industries -225 inc,acct225@biz.org,成都,500000,2018-01-01
